1765325651.203525 server started (53780): version 3.6, socket /private/tmp/tmux-501/default, protocol 8
1765325651.203544 on Darwin 24.6.0 Darwin Kernel Version 24.6.0: Wed Oct 15 21:12:09 PDT 2025; root:xnu-11417.140.69.703.14~1/RELEASE_ARM64_T6031
1765325651.203554 using libevent 2.1.12-stable select
1765325651.203562 using utf8proc 2.11.2
1765325651.203568 using ncurses 6.5 20240427
1765325651.203599 input_key_build: 0x10e003 (PasteStart) is \033[200~
1765325651.203606 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1765325651.203617 input_key_build: 0x10e25b (F1) is \033OP
1765325651.203622 input_key_build: 0x10e25c (F2) is \033OQ
1765325651.203626 input_key_build: 0x10e25d (F3) is \033OR
1765325651.203634 input_key_build: 0x10e25e (F4) is \033OS
1765325651.203639 input_key_build: 0x10e25f (F5) is \033[15~
1765325651.203643 input_key_build: 0x10e260 (F6) is \033[17~
1765325651.203648 input_key_build: 0x10e261 (F7) is \033[18~
1765325651.203653 input_key_build: 0x10e262 (F8) is \033[19~
1765325651.203660 input_key_build: 0x10e263 (F9) is \033[20~
1765325651.203666 input_key_build: 0x10e264 (F10) is \033[21~
1765325651.203672 input_key_build: 0x10e265 (F11) is \033[23~
1765325651.203678 input_key_build: 0x10e266 (F12) is \033[24~
1765325651.203683 input_key_build: 0x10e267 (IC) is \033[2~
1765325651.203688 input_key_build: 0x10e268 (DC) is \033[3~
1765325651.203692 input_key_build: 0x10e269 (Home) is \033[1~
1765325651.203696 input_key_build: 0x10e26a (End) is \033[4~
1765325651.203700 input_key_build: 0x10e26b (NPage) is \033[6~
1765325651.203708 input_key_build: 0x10e26c (PPage) is \033[5~
1765325651.203713 input_key_build: 0x10e26d (BTab) is \033[Z
1765325651.203717 input_key_build: 0x10e26e (Up) is \033[A
1765325651.203859 input_key_build: 0x10e26f (Down) is \033[B
1765325651.203865 input_key_build: 0x10e270 (Left) is \033[D
1765325651.203869 input_key_build: 0x10e271 (Right) is \033[C
1765325651.203874 input_key_build: 0x10e272 (KP/) is /
1765325651.203879 input_key_build: 0x10e273 (KP*) is *
1765325651.203883 input_key_build: 0x10e274 (KP-) is -
1765325651.203888 input_key_build: 0x10e275 (KP7) is 7
1765325651.203892 input_key_build: 0x10e276 (KP8) is 8
1765325651.203897 input_key_build: 0x10e277 (KP9) is 9
1765325651.203902 input_key_build: 0x10e278 (KP+) is +
1765325651.203906 input_key_build: 0x10e279 (KP4) is 4
1765325651.203911 input_key_build: 0x10e27a (KP5) is 5
1765325651.203915 input_key_build: 0x10e27b (KP6) is 6
1765325651.203920 input_key_build: 0x10e27c (KP1) is 1
1765325651.203925 input_key_build: 0x10e27d (KP2) is 2
1765325651.203929 input_key_build: 0x10e27e (KP3) is 3
1765325651.203934 input_key_build: 0x10e27f (KPEnter) is \n
1765325651.203938 input_key_build: 0x10e280 (KP0) is 0
1765325651.203942 input_key_build: 0x10e281 (KP.) is .
1765325651.203947 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1765325651.203952 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
1765325651.203957 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1765325651.203961 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1765325651.203965 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1765325651.203969 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1765325651.203973 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
1765325651.203978 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1765325651.203986 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1765325651.203990 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
1765325651.203994 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1765325651.203998 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1765325651.204003 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
1765325651.204018 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1765325651.204093 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
1765325651.204099 input_key_build: 0x20000010e268 (C-DC) is \033[3;5~
1765325651.204103 input_key_build: 0x20000010e269 (C-Home) is \033[1;5H
1765325651.204108 input_key_build: 0x20000010e26a (C-End) is \033[1;5F
1765325651.204115 input_key_build: 0x20000010e26b (C-NPage) is \033[6;5~
1765325651.204119 input_key_build: 0x20000010e26c (C-PPage) is \033[5;5~
1765325651.204122 input_key_build: 0x20000010e26e (C-Up) is \033[1;5A
1765325651.204126 input_key_build: 0x20000010e26f (C-Down) is \033[1;5B
1765325651.204129 input_key_build: 0x20000010e270 (C-Left) is \033[1;5D
1765325651.204133 input_key_build: 0x20000010e271 (C-Right) is \033[1;5C
1765325651.204136 input_key_build: 0x40000010e25b (S-F1) is \033[1;2P
1765325651.204140 input_key_build: 0x40000010e25c (S-F2) is \033[1;2Q
